NO,허가일자,상호,설비용량(KW),설치장소,상태,사업개시일,데이터기준일자
72,2013-03-07,건희 태양광발전소,98,제주특별자치도 제주시 한림읍 금악리 1009-6 .1009-7,사업개시,2014-07-29,2024-06-30
73,2013-03-07,다원태양광,96.8,제주특별자치도 제주시 한림읍 금악리 1011번지 1호 1172-1.1174-1,사업개시,2014-05-09,2024-06-30
74,2013-03-07,에스비파워,96.8,제주특별자치도 제주시 한림읍 금악리 1011번지 1호 1172-1. 1012,사업개시,2014-09-16,2024-06-30
75,2013-03-07,병옥 태양광발전소,96.8,제주특별자치도 제주시 한림읍 금악리 1172번지 1호 외 1필지,사업개시,2014-08-27,2024-06-30
76,2013-03-15,와이에스태양광발전소,96.6,제주특별자치도 서귀포시 표선면 토산리 1977번지 3호,사업개시,2014-01-23,2024-06-30
77,2013-03-15,유진태양광발전소,96.6,제주특별자치도 서귀포시 표선면 토산리 1977번지,사업개시,2014-01-23,2024-06-30
78,2013-03-20,솔솔라 태양광발전소,997.7,제주특별자치도 서귀포시 남원읍 신흥리 2016번지,사업개시,2014-01-28,2024-06-30
79,2013-03-20,비봉태양광발전소,96.6,제주특별자치도 서귀포시 남원읍 신흥리 2031번지 3호 .2017,사업개시,2014-03-21,2024-06-30
80,2013-03-20,수아태양광발전소,96.6,제주특별자치도 서귀포시 남원읍 신흥리 2031번지 3호 2016,사업개시,2014-03-21,2024-06-30
81,2013-03-20,제이에스태양광발전소,32.2,제주특별자치도 서귀포시 남원읍 신흥리 2031번지 3호,사업개시,2014-03-21,2024-06-30
82,2013-03-22,순2호 태양광발전소,95.4,제주특별자치도 서귀포시 남원읍 신흥리 2221번지 13호,사업개시,2014-12-15,2024-06-30
83,2013-03-22,순1호 태양광발전소,95.4,제주특별자치도 서귀포시 남원읍 신흥리 2221번지 14호,사업개시,2014-12-15,2024-06-30
84,2013-03-22,신흥 태양광발전소,95.4,제주특별자치도 서귀포시 남원읍 신흥리 2221번지 23호,사업개시,2014-12-15,2024-06-30
85,2013-03-22,윤이 태양광발전소,95.4,제주특별자치도 서귀포시 남원읍 신흥리 2221번지 11호,사업개시,2014-12-04,2024-06-30
86,2013-03-22,신천4호 태양광발전소,95.4,제주특별자치도 서귀포시 남원읍 신흥리 2221번지 20호,사업개시,2014-12-15,2024-06-30
87,2013-03-29,에스에프태양광발전소,400,제주특별자치도 서귀포시 남원읍 신흥리 2152번지,사업개시,2014-03-21,2024-06-30
88,2013-04-01,이호동오도마을회,16,제주특별자치도 제주시 이호이동 945번지 3호,사업개시,2013-09-09,2024-06-30
89,2013-04-05,법영2호 태양광발전소,99,제주특별자치도 제주시 한경면 청수리 2156번지,사업개시,2014-02-05,2024-06-30
90,2013-04-11,제주무릉 태양광발전소,900,제주특별자치도 서귀포시 대정읍 무릉리 1024번지 .985번지.982번지,사업개시,2013-07-18,2024-06-30
91,2013-04-12,다담2호 태양광발전소,75,제주특별자치도 제주시 조천읍 신촌리 3038번지 3호,사업개시,2014-10-10,2024-06-30
92,2013-04-24,다온 태양광발전소,39.2,제주특별자치도 서귀포시 안덕면 상천리 520번지 6호,사업개시,2014-03-21,2024-06-30
93,2013-04-24,에스에스에이치 태양광발전소,96.6,제주특별자치도 서귀포시 안덕면 상천리 520번지,사업개시,2014-03-21,2024-06-30
94,2013-04-24,유진 태양광발전소,96.6,제주특별자치도 서귀포시 안덕면 상천리 520번지 5호,사업개시,2014-03-21,2024-06-30
95,2013-04-29,은서태양광발전소,96.6,제주특별자치도 서귀포시 대정읍 동일리 507번지,사업개시,2014-02-01,2024-06-30
96,2013-04-29,미희태양광발전소,49,제주특별자치도 서귀포시 대정읍 동일리 507번지 2호,사업개시,2014-10-01,2024-06-30
97,2013-04-29,제이태양광발전소,96.6,제주특별자치도 서귀포시 대정읍 동일리 507번지 1호,사업개시,2016-12-08,2024-06-30
98,2013-05-02,법영3호태양광발전소,99,제주특별자치도 제주시 한경면 청수리 2154번지 외 2155,사업개시,2014-02-05,2024-06-30
99,2013-05-16,에이티태양광발전소,96.6,제주특별자치도 서귀포시 남원읍 자배오름로 140-66,사업개시,2014-09-15,2024-06-30
100,2013-05-16,하은솔라 태양광발전소,96.6,제주특별자치도 서귀포시 남원읍 자배오름로 140-66,사업개시,2014-06-25,2024-06-30
101,2013-05-16,하영 태양광발전소,59.8,제주특별자치도 서귀포시 남원읍 자배오름로 140-66,사업개시,2014-06-25,2024-06-30
102,2013-05-16,(주)열매 태양광발전소,646.8,제주특별자치도 서귀포시 남원읍 자배오름로 140-66 (외 1필지(1188)),사업개시,2014-08-27,2024-06-30
103,2013-05-16,스마트 태양광발전소,496.84,제주특별자치도 서귀포시 남원읍 위미리 1188번지 1호,사업개시,2014-09-25,2024-06-30
104,2013-05-20,에코에너지1호태양광발전소,106.9,제주특별자치도 서귀포시 대정읍 신평리 1288번지 4호,사업개시,2016-08-19,2024-06-30
105,2013-05-27,해테크제주1호 태양광발전소,95.4,제주특별자치도 서귀포시 남원읍 신흥리 2221번지 22호,사업개시,2014-12-15,2024-06-30
106,2013-05-27,(주)제일풍력,95.4,제주특별자치도 서귀포시 남원읍 신흥리 2221번지 12호,사업개시,2014-12-15,2024-06-30
107,2013-05-27,정오의 태양 발전소,95.4,제주특별자치도 서귀포시 남원읍 신흥리 2221번지 21호,사업개시,2014-12-15,2024-06-30
108,2013-05-27,신천3호태양광발전소,95.4,제주특별자치도 서귀포시 남원읍 신흥리 2221번지 19호,사업개시,2014-12-18,2024-06-30
109,2013-05-27,아가페태양광발전소,95.4,제주특별자치도 서귀포시 남원읍 신흥리 2221번지 16호,사업개시,2014-12-15,2024-06-30
110,2013-05-27,YJ테크 태양광발전소,95.4,제주특별자치도 서귀포시 남원읍 신흥리 2221번지 18호,사업개시,2014-12-15,2024-06-30
111,2013-05-27,임마누엘 태양광발전소,95.4,제주특별자치도 서귀포시 남원읍 신흥리 2221번지 17호,사업개시,2014-12-15,2024-06-30
112,2013-05-27,써니태양광발전소,95.4,제주특별자치도 서귀포시 남원읍 신흥리 2221번지 15호,사업개시,2014-12-15,2024-06-30
113,2013-05-27,썬열 태양광발전소,95.4,제주특별자치도 서귀포시 남원읍 신흥리 2221번지 10호,사업개시,2014-12-04,2024-06-30
114,2013-05-27,만풍2호 태양광발전소,95.4,제주특별자치도 서귀포시 남원읍 신흥리 2221번지 9호,사업개시,2014-12-15,2024-06-30
115,2013-05-27,만풍1호 태양광발전소,95.4,제주특별자치도 서귀포시 남원읍 신흥리 2221번지 1호,사업개시,2014-12-15,2024-06-30
116,2013-05-28,대정 태양광발전소(영락),400,제주특별자치도 서귀포시 대정읍 영락리 1761번지 외3필지(1762.1735.1762-4),사업개시,2013-09-05,2024-06-30
117,2013-05-28,대정 태양광발전소(상모),500,제주특별자치도 서귀포시 대정읍 상모리 2302번지,사업개시,2013-09-05,2024-06-30
118,2013-05-29,한사랑2호 태양광발전소,99,제주특별자치도 제주시 외도일동 1214-1 .1214-2.1214-7,사업개시,2014-05-20,2024-06-30
119,2013-06-04,이호발전소,9.9,제주특별자치도 제주시 오도길 59 (이호이동),사업개시,2013-07-11,2024-06-30
120,2013-06-14,제우태양광발전(주),599.04,제주특별자치도 제주시 한림읍 금악리 497번지,사업개시,2014-03-10,2024-06-30
121,2013-06-17,한사랑 태양광발전소,99,제주특별자치도 제주시 외도일동 1217번지,사업개시,2014-02-05,2024-06-30
122,2013-06-19,은호 태양광발전소,99,제주특별자치도 제주시 조천읍 신촌리 3011번지 3호,사업개시,2013-09-16,2024-06-30
123,2013-06-19,이레 태양광발전소,99,제주특별자치도 제주시 조천읍 신촌서2길 67,사업개시,2013-09-16,2024-06-30
124,2013-06-21,오박태양광 발전소,75.46,제주특별자치도 서귀포시 대정읍 영락리 113번지,사업개시,2015-04-10,2024-06-30
125,2013-06-21,에코플랜2호 태양광 발전소,72.03,제주특별자치도 서귀포시 대정읍 영락리 112번지,사업개시,2015-04-09,2024-06-30
126,2013-06-27,도토리 태양광발전소,34.3,제주특별자치도 제주시 한림읍 금악리 1010번지 1호,사업개시,2014-06-12,2024-06-30
127,2013-07-09,용수태양광발전소,99.84,제주특별자치도 제주시 한경면 용수리 1938번지 외2필지(1939-1. 1939-2),사업개시,2013-12-12,2024-06-30
128,2013-07-11,서회천마을회 태양광발전소,466.56,제주특별자치도 제주시 회천동 1648번지 외3필지(1649.1698.1699),사업개시,2014-07-18,2024-06-30
129,2013-08-08,신우태양광발전소,400,제주특별자치도 제주시 한경면 두모리 1123번지 1124-1,사업개시,2014-02-12,2024-06-30
